City,ST,Region,Population_Change,Population_Change_Percentage,Temp_Change,Prcp_Change,LAT,LON
Asheville,NC,South,68699,468,3.57,21.9,35.570977,-82.5527383
Chattanooga,TN,South,137520,456,0.42,-4.87,35.0664635,-85.2470649
Birmingham,AL,South,173822,452,-1.79,-28.32,33.5274441,-86.799047
Wilmington,NC,South,85500,408,-5.5,4.91,34.209225000000004,-77.8857671
Mobile,AL,South,156642,407,-0.8,-31.31,30.668426,-88.1002261
Augusta,GA,South,156403,397,-1.3,-22.73,33.3655309,-82.0734219
Atlanta,GA,South,330131,367,0.62,-10.68,33.7629088,-84.4226745
Charleston,WV,South,40301,363,-17.89,0.98,38.3486917,-81.632324
Jackson,TN,South,50700,349,2.33,1.54,35.6491371,-88.8305972
Huntington,WV,South,37215,312,-0.57,0.27,38.4106509,-82.4346886
Lynchburg,VA,South,56677,300,-2.2,0.21,37.3990161,-79.1954582
Macon,GA,South,68079,293,-0.34,-5.79,32.8309533,-83.6489181
Ashland,KY,South,14884,219,-2.61,-6.6,38.4594922,-82.6450808
Pensacola,FL,South,34176,193,-1.25,-7.86,30.4412661,-87.1899433
Meridian,MS,South,27098,193,-0.89,-30.36,32.3841906,-88.6894404
Louisville,KY,South,392606,192,0.65,0.47,38.1780769,-85.6667077
Russellville,KY,South,4369,169,-0.17,-15.34,36.8395177,-86.8955786
Savannah,GA,South,82042,151,-1.13,-8.73,32.0025121,-81.1535567
Richmond,VA,South,119164,140,0.17,-1.87,37.531399,-77.4760085
Bluefield,WV,South,5803,125,0.36,-3.27,37.2630513,-81.2108607
Lexington,VA,South,3839,120,-0.76,4.37,37.7823316,-79.4443196
Charleston,SC,South,64276,115,-17.89,0.98,32.8179219,-79.9589267
Gainesville,TX,South,8128,103,-2.71,-12.06,33.6386474,-97.1484125
Aberdeen,MS,South,2178,63,-1.94,4.45,33.8282992,-88.5547413
Galveston,TX,South,9954,26,0.15,-45.22,29.1832602,-94.9697546
Baltimore,MD,South,112004,22,-0.16,11.9,39.3002135,-76.6105159
Wilmington,DE,South,-5657,-7,-5.5,4.91,39.7352263,-75.5292892
Dayton,KY,South,-766,-13,-2.05,-0.3,39.1127585,-84.4644605
Wheeling,WV,South,-10392,-27,0.26,-4.44,40.0739061,-80.6953702
Madison,NJ,Northest,12091,322,1.21,9.08,40.7580439,-74.4178066
Springfield,MA,Northest,91001,147,0,16.58,42.115454,-72.5399783
Burlington,VT,Northest,23777,128,0.88,6.17,44.4919905,-73.2393625
Concord,NH,Northest,23063,117,3.04,1.77,43.2324926,-71.5612523
Erie,PA,Northest,49053,93,0.48,7.13,42.1165941,-80.0735032
Manchester,NH,Northest,52578,92,8.19,1.38,42.9846891,-71.4438932
Augusta,ME,Northest,7453,64,-1.3,-22.73,44.3349191,-69.7342048
Lewiston,ME,Northest,12831,54,5.96,3.42,44.0895941,-70.1721851
Worcester,MA,Northest,62624,53,0.85,13.54,42.2694781,-71.8077831
Burlington,NJ,Northest,2528,34,0.88,6.17,40.078366,-74.8525096
Portland,ME,Northest,16049,32,0.69,17.47,43.663811,-70.255365
Harrison,NJ,Northest,3024,29,-1.29,0.02,40.7429573,-74.1529116
Waterloo,NY,Northest,915,21,-1.01,5.7,42.9045862,-76.8590234
Philadelphia,PA,Northest,232309,18,1.52,3.55,40.0093755,-75.1333459
Trenton,NJ,Northest,11606,16,0.46,-4.2,40.2237484,-74.7640005
Salem,MA,Northest,5384,15,-1.69,14.48,42.5012804,-70.8975017
Milton,PA,Northest,867,14,3.64,14.2,41.0090362,-76.8514336
Boston,MA,Northest,56702,10,2.9,5.61,42.33196,-71.0201725
Albany,NY,Northest,3705,4,0.07,7.28,42.6657453,-73.7983532
Williamsport,PA,Northest,624,2,0.94,13.16,41.2400192,-77.0355914
Pittsburgh,PA,Northest,-15912,-5,-2.92,12.12,40.4397525,-79.9765919
Athens,PA,Northest,-382,-10,-2.17,17.03,41.9334135,-76.5159955
Salem,NJ,Northest,-665,-11,-1.69,14.48,39.5682361,-75.472553
Buffalo,NY,Northest,-91077,-26,0.43,0.79,42.8924919,-78.8596862
Ashland,PA,Northest,-3621,-56,-2.61,-6.6,40.7811064,-76.3450463
Trenton,MI,Midwest,18053,2257,0.46,-4.2,42.1400576,-83.1929137
Bismarck,ND,Midwest,57953,1746,-0.72,5.3,46.8110381,-100.7701017
Madison,WI,Midwest,214045,1117,1.21,9.08,43.0878055,-89.4301208
Riverside,OH,Midwest,23001,1046,2.01,15.48,39.7826128,-84.1243449
Fargo,ND,Midwest,95960,1001,1.19,1.98,46.8652063,-96.8290052
Lexington,NE,Midwest,8930,687,-0.76,4.37,40.7780963,-99.7463372
Athens,OH,Midwest,20766,677,-2.17,17.03,39.326001,-82.0980073
Lansing,MI,Midwest,97812,593,2.82,-3.87,42.7097871,-84.5562219
Springfield,MO,Midwest,136231,586,0,16.58,37.194152,-93.2913048
Lincoln,NE,Midwest,218210,543,0.7,1.24,40.8089574,-96.6803544
Aberdeen,SD,Midwest,22004,538,-1.94,4.45,45.4646777,-98.468104
Hastings,MN,Midwest,18361,482,-6.86,4.66,44.7317802,-92.8545118
Waterloo,IA,Midwest,55826,444,-1.01,5.7,42.4923267,-92.3519473
Ashland,OH,Midwest,16275,398,-2.61,-6.6,40.8670818,-82.3172571
Rockford,IL,Midwest,121820,392,-13.62,11.22,42.2633938,-89.0628271
Indianapolis,IN,Midwest,651281,385,0.58,-4.6,39.7766644,-86.1459355
Akron,OH,Midwest,156382,366,0.12,-1.88,41.0804559,-81.5214295
Austin,MN,Midwest,19244,352,3.37,-16.23,43.671683,-92.9736684
Huron,SD,Midwest,9799,351,-0.65,6.16,44.3623438,-98.2103831
Burlington,WI,Midwest,7938,314,0.88,6.17,42.6752796,-88.2719212
Monroe,MI,Midwest,15690,311,1.47,-0.67,41.916678,-83.3849026
Omaha,NE,Midwest,306403,299,-1.15,3.79,41.2646751,-96.041926900000007
Charleston,IL,Midwest,16350,298,-17.89,0.98,39.4848296,-88.1776092
Topeka,KS,Midwest,93865,279,0.5,5.73,39.03617,-95.6948257
Mitchell,SD,Midwest,11199,276,-1.3,4.44,43.7298621,-98.0333701
Belvidere,IL,Midwest,18648,269,-0.83,7.31,42.2561567,-88.868128
Spencer,IA,Midwest,8138,263,17.03,30.39,43.1470247,-95.1526906
Hastings,NE,Midwest,17719,247,-6.86,4.66,40.5962323,-98.3941751
Wilmington,OH,Midwest,8907,247,-5.5,4.91,39.4391177,-83.8179526
Springfield,IL,Midwest,82091,240,0,16.58,39.7639077,-89.6708323
Wausau,WI,Midwest,26752,217,-0.31,-4.45,44.9618663,-89.6434858
Jefferson,WI,Midwest,5389,209,-1.03,7.57,43.0039427,-88.8078261
Kalamazoo,MI,Midwest,49858,204,1.68,-7.31,42.2751635,-85.5885011
Monroe,WI,Midwest,6900,176,1.47,-0.67,42.601045,-89.6438804
Madison,SD,Midwest,3924,154,1.21,9.08,44.0062159,-97.1084785
Moline,IL,Midwest,26235,152,0.35,14.96,41.4823868,-90.493492
Detroit,MI,Midwest,428073,150,2.41,0.83,42.3830375,-83.1022365
Hastings,MI,Midwest,4178,132,-6.86,4.66,42.6501302,-85.2883726
Charlotte,MI,Midwest,4982,122,-0.27,-9.94,42.5662017,-84.8318392
Toledo,OH,Midwest,155386,118,0.68,5.03,41.664071,-83.5818608
Marquette,MI,Midwest,11297,112,0.13,2.7,46.5506978,-87.3958333
Milwaukee,WI,Midwest,309518,108,2.32,5.88,43.0633484,-87.9666952
Peoria,IL,Midwest,58907,105,-4.28,16.79,40.7523087,-89.6170968
Richmond,IN,Midwest,18586,102,0.17,-1.87,39.8320792,-84.8896989
Evansville,IN,Midwest,58422,99,-1.61,-11.44,37.9877339,-87.534703
Abilene,KS,Midwest,3337,95,0.53,-4.32,38.9239017,-97.2241393
Minneapolis,MN,Midwest,179860,89,1.79,-1.7,44.9633235,-93.2682835
Muskegon,MI,Midwest,17583,84,2.86,2.85,43.2282176,-86.2554146
Huntington,IN,Midwest,7900,83,-0.57,0.27,40.8808249,-85.5054975
Manchester,IA,Midwest,2292,79,8.19,1.38,42.4853503,-91.4548558
Jefferson,IA,Midwest,1744,67,-1.03,7.57,42.0167516,-94.3794173
Richmond,MO,Midwest,2319,67,0.17,-1.87,39.2755951,-93.973464
Dayton,OH,Midwest,56194,66,-2.05,-0.3,39.7773943,-84.1996317
Duluth,MN,Midwest,33296,63,0.57,12.46,46.783229,-92.1187097
Lincoln,IL,Midwest,5542,62,0.7,1.24,40.1506821,-89.3719337
Salem,OH,Midwest,4721,62,-1.69,14.48,40.904596,-80.8489375
Dubuque,IA,Midwest,21340,59,-1.67,13.25,42.502385,-90.7051015
Chicago,IL,Midwest,997023,59,2.2,8.96,41.8375511,-87.6818441
Concordia,KS,Midwest,1994,59,-1.42,6.52,39.5653815,-97.6468215
Springfield,OH,Midwest,22355,58,0,16.58,39.9337579,-83.7957572
Madison,IN,Midwest,4132,53,1.21,9.08,38.7588294,-85.3971348
Stillwater,MN,Midwest,5907,48,0.46,-0.9,45.0586057,-92.8304075
Jackson,OH,Midwest,1725,37,2.33,1.54,39.0459501,-82.6496008
Macon,MO,Midwest,1403,34,-0.34,-5.79,39.7421423,-92.4705453
Jackson,MI,Midwest,8354,33,2.33,1.54,42.2434542,-84.4022545
Portland,IN,Midwest,1425,30,0.69,17.47,40.4366813,-84.9834414
Jacksonville,IL,Midwest,4368,29,-2.47,-20.45,39.729151,-90.232201
Saginaw,MI,Midwest,9163,22,1.1,-9.12,43.4176784,-83.954716
Lexington,MO,Midwest,536,13,-0.76,4.37,39.1802617,-93.8691656
Burlington,IA,Midwest,2462,11,0.88,6.17,40.8064457,-91.1253389
Trenton,MO,Midwest,605,11,0.46,-4.2,40.0812551,-93.6023873
Cleveland,OH,Midwest,15047,4,2.16,9.57,41.4781381,-81.6794861
Ely,MN,Midwest,-257,-7,-2.27,0.64,47.905099,-91.8530128
Cincinnati,OH,Midwest,-28959,-9,-1.56,8.89,39.1399019,-84.5064465
Ashland,WI,Midwest,-4858,-37,-2.61,-6.6,46.5823397,-90.8706331
